number,value,datetime_start,datetime_complete,duration,params_batch_size,params_hidden_size,params_learning_rate,params_num_epochs,params_num_layers,state
90,1.4709130345590857,2024-04-19 23:12:12.396325,2024-04-19 23:12:47.682778,0 days 00:00:35.286453,64,64,0.01604973237298642,147,3,PRUNED
91,1.2265487003800095,2024-04-19 23:12:47.683055,2024-04-19 23:13:05.475614,0 days 00:00:17.792559,64,64,0.00013118842512034942,74,3,COMPLETE
92,1.2537003738990684,2024-04-19 23:13:05.476283,2024-04-19 23:13:29.363411,0 days 00:00:23.887128,64,64,0.00012419138419352043,101,3,PRUNED
93,1.349584137209204,2024-04-19 23:13:29.363669,2024-04-19 23:13:50.854290,0 days 00:00:21.490621,64,64,0.00026211928475100907,90,3,PRUNED
94,1.5602326636282813,2024-04-19 23:13:50.854744,2024-04-19 23:14:04.385063,0 days 00:00:13.530319,64,64,3.322854661684721e-05,56,3,PRUNED
95,1.243550294361367,2024-04-19 23:14:04.385347,2024-04-19 23:14:23.848970,0 days 00:00:19.463623,64,64,0.00015742747709021574,80,3,COMPLETE
96,1.2246985748903643,2024-04-19 23:14:23.849435,2024-04-19 23:14:50.561401,0 days 00:00:26.711966,64,64,8.951106066028241e-05,110,3,COMPLETE
97,1.4084580040925387,2024-04-19 23:14:50.561736,2024-04-19 23:15:42.644079,0 days 00:00:52.082343,64,128,8.316251908858222e-05,109,3,PRUNED
98,1.288831846682441,2024-04-19 23:15:42.644485,2024-04-19 23:15:59.247709,0 days 00:00:16.603224,64,64,5.382387503891502e-05,69,3,PRUNED
99,1.2279719085882832,2024-04-19 23:15:59.247941,2024-04-19 23:16:26.498818,0 days 00:00:27.250877,64,64,6.279398702333239e-05,97,3,COMPLETE
